iter	Passed	Remaining
1144	1708880	2768535
1145	1710642	2767479
1146	1712215	2766116
1147	1713988	2765076
1148	1716053	2764504
1149	1717648	2763173
1150	1719194	2761764
1151	1720695	2760282
1152	1722499	2759285
1153	1724057	2757894
1154	1725659	2756573
1155	1727475	2755591
1156	1729114	2754328
1157	1730680	2752947
1158	1732194	2751484
1159	1733746	2750081
1160	1735611	2749173
1161	1737418	2748171
1162	1738885	2746631
1163	1740450	2745247
1164	1742020	2743869
1165	1743782	2742793
1166	1745284	2741308
1167	1747141	2740379
1168	1748911	2739312
1169	1750786	2738409
1170	1752594	2737400
1171	1754503	2736545
1172	1756334	2735570
1173	1757952	2734259
1174	1759504	2732847
1175	1761378	2731934
1176	1763116	2730808
1177	1764917	2729779
1178	1766648	2728639
1179	1768217	2727250
1180	1769755	2725813
1181	1771482	2724666
1182	1773316	2723681
1183	1774785	2722136
1184	1776291	2720649
1185	1778082	2719596
1186	1779596	2718119
1187	1781230	2716826
1188	1782881	2715558
1189	1784420	2714119
1190	1786307	2713207
1191	1787886	2711827
1192	1789918	2711134
1193	1791858	2710298
1194	1793955	2709699
1195	1796039	2709075
1196	1797820	2707994
1197	1799555	2706843
1198	1801155	2705489
1199	1802788	2704182
1200	1804720	2703324
1201	1806526	2702274
1202	1808377	2701291
1203	1809874	2699779
1204	1811402	2698313
1205	1812834	2696704
1206	1814710	2695754
1207	1816280	2694350
1208	1818057	2693251
1209	1819591	2691792
1210	1821363	2690685
1211	1822915	2689252
1212	1824518	2687893
1213	1826009	2686370
1214	1827649	2685065
1215	1829185	2683608
1216	1830986	2682538
1217	1832669	2681295
1218	1834445	2680187
1219	1836287	2679174
1220	1837849	2677751
1221	1839765	2676843
1222	1841537	2675724
1223	1843245	2674513
1224	1844871	2673181
1225	1847051	2672650
1226	1849345	2672281
1227	1851034	2671036
1228	1852783	2669878
1229	1854583	2668790
1230	1856188	2667422
1231	1857796	2666058
1232	1859363	2664635
1233	1861396	2663879
1234	1862946	2662429
1235	1864444	2660905
1236	1866317	2659917
1237	1867762	2658318
1238	1869575	2657241
1239	1871190	2655882
1240	1872698	2654373
1241	1874308	2653007
1242	1875876	2651580
1243	1877480	2650206
1244	1879595	2649550
1245	1881104	2648039
1246	1882971	2647032
1247	1884569	2645646
1248	1886088	2644148
1249	1887954	2643136
1250	1889536	2641725
1251	1891356	2640647
1252	1893363	2639828
1253	1895173	2638733
1254	1897117	2637825
1255	1898579	2636244
1256	1900180	2634856
1257	1901826	2633530
1258	1903328	2632005
1259	1904958	2630656
1260	1906635	2629372
1261	1908541	2628403
1262	1910169	2627049
1263	1911777	2625669
1264	1913519	2624471
1265	1915168	2623146
1266	1916752	2621730
1267	1918520	2620566
1268	1920536	2619739
1269	1921969	2618115
1270	1923933	2617215
1271	1925890	2616304
1272	1927726	2615227
1273	1929527	2614100
1274	1931266	2612889
1275	1932886	2611517
1276	1934637	2610321
1277	1936149	2608801
1278	1937669	2607293
1279	1939543	2606261
1280	1941058	2604745
1281	1942653	2603338
1282	1944552	2602335
1283	1946486	2601379
1284	1948399	2600393
1285	1950236	2599303
1286	1952060	2598196
1287	1953944	2597167
1288	1955447	2595632
1289	1957333	2594604
1290	1959231	2593591
1291	1960760	2592089
1292	1962531	2590905
1293	1964215	2589607
1294	1966005	2588447
1295	1967877	2587394
1296	1969467	2585969
1297	1971459	2585072
1298	1973118	2583737
1299	1974785	2582411
1300	1976384	2580997
1301	1978178	2579836
1302	1980025	2578744
1303	1982064	2577899
1304	1984008	2576930
1305	1985948	2575954
1306	1987963	2575073
1307	1989526	2573608
1308	1991162	2572235
1309	1992783	2570843
1310	1994315	2569336
1311	1995872	2567860
1312	1997507	2566485
1313	1999103	2565059
1314	2000711	2563649
1315	2002503	2562474
1316	2004282	2561280
1317	2006246	2560324
1318	2007924	2559000
1319	2009501	2557547
1320	2010996	2555990
1321	2012780	2554799
1322	2014374	2553367
1323	2015957	2551922
1324	2017931	2550969
1325	2019465	2549461
1326	2021137	2548125
1327	2022917	2546926
1328	2025162	2546310
1329	2027100	2545306
1330	2028681	2543853
1331	2030578	2542796
1332	2032106	2541276
1333	2033619	2539737
1334	2035314	2538425
1335	2036868	2536938
1336	2038714	2535813
1337	2040483	2534591
1338	2042154	2533248
1339	2043892	2531985
1340	2046187	2531412
1341	2047701	2529872
1342	2049222	2528340
1343	2051171	2527336
1344	2053024	2526212
1345	2054871	2525079
1346	2056713	2523940
1347	2058483	2522711
1348	2061064	2522473
1349	2063097	2521563
1350	2064929	2520406
1351	2066694	2519166
1352	2068342	2517783
1353	2070120	2516557
1354	2071664	2515046
1355	2073603	2514015
1356	2075517	2512951
1357	2077104	2511491
1358	2078652	2509984
1359	2080452	2508780
1360	2081993	2507265
1361	2083876	2506160
1362	2085505	2504749
1363	2087389	2503642
1364	2089450	2502748
1365	2091117	2501380
1366	2092819	2500054
1367	2094812	2499074
1368	2096787	2498071
1369	2098774	2497081
1370	2100308	2495552
1371	2101897	2494088
1372	2103754	2492941
1373	2105680	2491874
1374	2107204	2490332
1375	2108848	2488931
1376	2110486	2487523
1377	2112229	2486238
1378	2113965	2484944
1379	2115545	2483466
1380	2117228	2482109
1381	2119003	2480859
1382	2120494	2479276
1383	2122074	2477798
1384	2123910	2476618
1385	2125757	2475449
1386	2127601	2474276
1387	2129361	2473005
1388	2131174	2471793
1389	2133054	2470659
1390	2134612	2469152
1391	2136119	2467585
1392	2137651	2466048
1393	2139054	2464362
1394	2140556	2462790
1395	2142096	2461262
1396	2144018	2460173
1397	2145824	2458949
1398	2147413	2457476
1399	2149229	2456262
1400	2151224	2455251
1401	2153166	2454180
1402	2155113	2453112
1403	2157079	2452064
1404	2159006	2450971
1405	2160937	2449881
1406	2162988	2448927
1407	2165129	2448072
1408	2167664	2447661
1409	2170923	2448062
1410	2173268	2447430
1411	2175477	2446641
1412	2177430	2445563
1413	2179624	2444755
1414	2181521	2443611
1415	2183723	2442809
1416	2185630	2441675
1417	2187611	2440622
1418	2189349	2439296
1419	2191235	2438134
1420	2193231	2437095
1421	2195212	2436037
1422	2196827	2434572
