Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Marital_Stability_Target
35.0,Higher Secondary,Agricultural,Caste,Hindu,33.0,151.5,Secondary or below,Not working,Caste,Hindu,Rural,Gujarat,1
35.0,Secondary or below,Services / household and domestic,Caste,Hindu,31.0,168.2,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,0
29.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,25.0,154.9,Secondary or below,Not working,Caste,Hindu,Rural,Punjab,1
43.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,36.0,146.6,Secondary or below,Not working,Caste,Hindu,Urban,Karnataka,1
30.0,Secondary or below,Skilled and unskilled manual,Caste,Sikh,30.0,153.2,Secondary or below,Not working,Caste,Sikh,Rural,Punjab,0
41.0,Secondary or below,Agricultural,Caste,Hindu,40.0,148.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttar Pradesh,1
35.0,Secondary or below,Agricultural,Caste,Hindu,30.0,155.8,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,0
37.0,Secondary or below,Agricultural,Caste,Hindu,34.0,137.8,Secondary or below,Agricultural,Caste,Hindu,Rural,Telangana,0
40.0,Graduate (B.Tech/B.Sc/BA),Services / household and domestic,Caste,Hindu,38.0,147.0,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
47.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,42.0,154.4,Secondary or below,Not working,Caste,Muslim,Urban,Rajasthan,1
25.0,Secondary or below,Agricultural,Caste,Hindu,23.0,151.7,Secondary or below,Agricultural,Caste,Hindu,Rural,Gujarat,1
30.0,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Hindu,28.0,154.0,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
38.0,Higher Secondary,Agricultural,Caste,Hindu,29.0,158.5,Secondary or below,Not working,Caste,Hindu,Rural,Karnataka,0
48.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,35.0,153.1,Secondary or below,Agricultural,Caste,Hindu,Urban,Arunachal Pradesh,0
40.0,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Muslim,35.0,156.9,Secondary or below,Not working,Caste,Muslim,Urban,Uttar Pradesh,1
40.0,Secondary or below,Agricultural,Tribe,Hindu,38.0,145.8,Secondary or below,Not working,Caste,Other,Rural,Jharkhand,0
36.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,30.0,150.2,Secondary or below,Not working,Caste,Hindu,Urban,Haryana,0
