Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Marital_Stability_Target
40.0,Secondary or below,Agricultural,Caste,Hindu,42.0,147.6,Secondary or below,Agricultural,Caste,Hindu,Rural,Maharashtra,0
32.0,Secondary or below,Agricultural,Tribe,Hindu,28.0,154.2,Secondary or below,Agricultural,Tribe,Hindu,Rural,Nagaland,0
33.0,Higher Secondary,Agricultural,Caste,Muslim,25.0,152.1,Secondary or below,Not working,Caste,Muslim,Rural,Assam,1
47.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,41.0,152.4,Secondary or below,Not working,Caste,Hindu,Urban,Odisha,0
38.0,Secondary or below,Agricultural,Caste,Christian,33.0,139.1,Secondary or below,Not working,Tribe,Christian,Rural,Jharkhand,1
37.0,Graduate (B.Tech/B.Sc/BA),Services / household and domestic,Caste,Muslim,37.0,155.4,Higher Secondary,Services / household and domestic,Caste,Muslim,Rural,Jammu & Kashmir,1
41.0,Secondary or below,Sales,Caste,Muslim,34.0,146.3,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Assam,1
39.0,Secondary or below,Agricultural,Caste,Hindu,37.0,148.1,Secondary or below,Not working,Tribe,Hindu,Rural,Chhattisgarh,0
31.0,Secondary or below,Agricultural,Caste,Hindu,27.0,140.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Rajasthan,1
34.0,Graduate (B.Tech/B.Sc/BA),Other,Caste,Hindu,29.0,138.9,Higher Secondary,Professional / technical / managerial,Caste,Hindu,Rural,Bihar,0
40.0,Secondary or below,Agricultural,Caste,Hindu,37.0,138.9,Secondary or below,Agricultural,Caste,Hindu,Rural,Telangana,1
29.0,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Muslim,23.0,154.7,Higher Secondary,Services / household and domestic,Caste,Muslim,Rural,Telangana,1
40.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,37.0,149.7,Secondary or below,Agricultural,Caste,Hindu,Rural,Odisha,0
51.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,46.0,142.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Maharashtra,1
24.0,Secondary or below,Agricultural,Tribe,Hindu,22.0,154.5,Secondary or below,Agricultural,Tribe,Hindu,Rural,Rajasthan,1
45.0,Secondary or below,Agricultural,Caste,Hindu,37.0,148.7,Secondary or below,Not working,Caste,Hindu,Rural,Uttarakhand,1
30.0,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Hindu,28.0,148.3,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Uttar Pradesh,0
27.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,25.0,157.3,Secondary or below,Not working,Caste,Hindu,Rural,Jammu & Kashmir,0
38.0,Secondary or below,Not working,Caste,Hindu,33.0,150.3,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Odisha,0
40.0,Higher Secondary,Professional / technical / managerial,Caste,Hindu,37.0,171.2,Secondary or below,Not working,Caste,Hindu,Rural,Himachal Pradesh,1
31.0,Secondary or below,Agricultural,Caste,Hindu,30.0,150.4,Secondary or below,Sales,Caste,Hindu,Rural,Madhya Pradesh,1
30.0,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Hindu,30.0,147.5,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Urban,Punjab,0
30.0,Secondary or below,Agricultural,Caste,Hindu,28.0,150.4,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,1
25.0,Secondary or below,Agricultural,No caste / tribe,Muslim,30.0,149.5,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Uttar Pradesh,1
50.0,Secondary or below,Agricultural,Caste,Hindu,48.0,140.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Maharashtra,1
27.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,24.0,158.0,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
38.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,36.0,152.1,Secondary or below,Agricultural,Caste,Muslim,Rural,Jammu & Kashmir,0
32.0,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,27.0,149.1,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Assam,1
37.0,Secondary or below,Sales,Caste,Hindu,35.0,157.4,Secondary or below,Not working,Caste,Muslim,Urban,Rajasthan,0
32.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,30.0,161.7,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,0
40.0,Secondary or below,Agricultural,Caste,Hindu,35.0,145.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Telangana,1
28.0,Secondary or below,Services / household and domestic,Caste,Hindu,25.0,152.1,Higher Secondary,Sales,Caste,Hindu,Urban,Tamil Nadu,1
31.0,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,29.0,143.5,Secondary or below,Not working,Caste,Hindu,Rural,Rajasthan,1
22.0,Secondary or below,Agricultural,Tribe,Hindu,20.0,149.4,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,1
26.0,Higher Secondary,Not working,Caste,Hindu,24.0,156.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttarakhand,0
30.0,Secondary or below,Agricultural,Tribe,Christian,27.0,143.1,Secondary or below,Agricultural,Tribe,Christian,Rural,Meghalaya,0
33.0,Secondary or below,Services / household and domestic,Caste,Hindu,29.0,151.7,Secondary or below,Not working,Caste,Hindu,Rural,Gujarat,0
38.0,Secondary or below,Agricultural,Caste,Sikh,36.0,164.7,Secondary or below,Not working,Caste,Sikh,Rural,Punjab,0
38.0,Secondary or below,Skilled and unskilled manual,Tribe,Christian,35.0,159.5,Secondary or below,Sales,Tribe,Christian,Urban,Nagaland,0
45.0,Secondary or below,Agricultural,Tribe,Christian,45.0,149.2,Secondary or below,Not working,Tribe,Christian,Rural,Arunachal Pradesh,0
33.0,Higher Secondary,Services / household and domestic,Caste,Muslim,30.0,145.4,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Muslim,Urban,Bihar,0
54.0,Secondary or below,Agricultural,Tribe,Hindu,49.0,162.7,Secondary or below,Agricultural,Tribe,Hindu,Rural,Maharashtra,0
42.0,Secondary or below,Agricultural,Caste,Hindu,35.0,155.6,Post-Graduate (MBA/MA),Agricultural,Caste,Hindu,Rural,Karnataka,1
46.0,Higher Secondary,Agricultural,Caste,Hindu,35.0,147.5,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,Rural,Maharashtra,1
38.0,Secondary or below,Agricultural,Tribe,Hindu,34.0,163.6,Secondary or below,Not working,Caste,Hindu,Rural,Gujarat,1
26.0,Secondary or below,Other,Tribe,Hindu,24.0,143.6,Secondary or below,Agricultural,Caste,Hindu,Rural,Gujarat,1
50.0,Secondary or below,Agricultural,Caste,Hindu,45.0,197.0,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,1
43.0,Secondary or below,Agricultural,Caste,Hindu,35.0,149.6,Secondary or below,Not working,Caste,Hindu,Rural,Karnataka,0
28.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,26.0,151.1,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Assam,0
51.0,Secondary or below,Agricultural,Caste,Hindu,47.0,149.5,Secondary or below,Agricultural,Caste,Hindu,Rural,Tamil Nadu,0
37.0,Secondary or below,Other,Tribe,Christian,32.0,150.2,Secondary or below,Not working,Tribe,Christian,Rural,Manipur,1
30.0,Secondary or below,Agricultural,No caste / tribe,Hindu,31.0,148.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Maharashtra,1
29.0,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,25.0,149.3,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,0
40.0,Secondary or below,Professional / technical / managerial,Caste,Hindu,38.0,149.4,Secondary or below,Not working,Caste,Hindu,Urban,Karnataka,1
46.0,Secondary or below,Skilled and unskilled manual,No caste / tribe,Christian,40.0,162.2,Secondary or below,Services / household and domestic,Caste,Christian,Urban,Andaman & Nicobar Islands,0
34.0,Secondary or below,Agricultural,Caste,Christian,30.0,148.2,Secondary or below,Skilled and unskilled manual,Caste,Christian,Rural,West Bengal,0
53.0,Secondary or below,Sales,Caste,Hindu,47.0,147.1,Secondary or below,Agricultural,Caste,Hindu,Rural,Rajasthan,0
45.0,Secondary or below,Agricultural,Caste,Hindu,42.0,149.8,Secondary or below,Not working,Caste,Hindu,Rural,Rajasthan,1
30.0,Higher Secondary,Sales,Caste,Hindu,25.0,152.7,Higher Secondary,Not working,Caste,Hindu,Urban,Uttar Pradesh,0
41.0,Graduate (B.Tech/B.Sc/BA),Other,Caste,Hindu,36.0,155.0,Higher Secondary,Not working,Caste,Hindu,Rural,Haryana,1
28.0,Secondary or below,Agricultural,Caste,Hindu,26.0,146.9,Secondary or below,Not working,Tribe,Hindu,Rural,Assam,0
28.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,27.0,152.6,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,0
50.0,Secondary or below,Agricultural,Caste,Hindu,46.0,153.6,Secondary or below,Not working,Caste,Hindu,Rural,Assam,1
29.0,Higher Secondary,Professional / technical / managerial,Caste,Hindu,23.0,150.7,Secondary or below,Not working,Caste,Hindu,Rural,Himachal Pradesh,0
31.0,Higher Secondary,Skilled and unskilled manual,Tribe,Christian,38.0,150.3,Secondary or below,Don't know,Tribe,Christian,Rural,Meghalaya,1
34.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,32.0,158.6,Secondary or below,Not working,Tribe,Hindu,Rural,Madhya Pradesh,1
30.0,Higher Secondary,Other,Caste,Hindu,20.0,152.1,Higher Secondary,Clerical,Caste,Hindu,Urban,Maharashtra,1
29.0,Secondary or below,Agricultural,Tribe,Hindu,24.0,141.2,Secondary or below,Not working,Tribe,Christian,Rural,Tripura,1
30.0,Secondary or below,Agricultural,Caste,Muslim,28.0,174.0,Secondary or below,Not working,Caste,Muslim,Rural,Rajasthan,1
21.0,Higher Secondary,Agricultural,Caste,Hindu,18.0,148.5,Secondary or below,Not working,Caste,Hindu,Rural,Rajasthan,1
27.0,Secondary or below,Agricultural,Caste,Hindu,23.0,150.1,Secondary or below,Not working,Caste,Hindu,Rural,Assam,1
39.0,Secondary or below,Services / household and domestic,Caste,Hindu,30.0,143.0,Higher Secondary,Not working,Caste,Hindu,Rural,Uttar Pradesh,0
36.0,Secondary or below,Services / household and domestic,Caste,Hindu,30.0,152.8,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,West Bengal,1
28.0,Secondary or below,Agricultural,Caste,Hindu,23.0,159.5,Secondary or below,Not working,Caste,Hindu,Rural,Haryana,0
43.0,Graduate (B.Tech/B.Sc/BA),Other,Don't know,Hindu,33.0,149.2,Secondary or below,Not working,No caste / tribe,Hindu,Urban,Andaman & Nicobar Islands,0
35.0,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,32.0,151.0,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,Rural,Rajasthan,1
22.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,18.0,157.2,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Madhya Pradesh,0
30.0,Secondary or below,Agricultural,Caste,Hindu,30.0,149.2,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,1
36.0,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,34.0,147.8,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Nct Of Delhi,0
26.0,Secondary or below,Services / household and domestic,Caste,Hindu,21.0,160.4,Secondary or below,Not working,Caste,Hindu,Rural,Gujarat,0
44.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,42.0,145.3,Secondary or below,Not working,No caste / tribe,Muslim,Urban,Maharashtra,1
27.0,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,23.0,153.4,Secondary or below,Not working,Caste,Hindu,Rural,Jharkhand,0
46.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,36.0,158.3,Secondary or below,Not working,Caste,Hindu,Urban,Tamil Nadu,0
39.0,Secondary or below,Sales,Caste,Muslim,37.0,160.2,Secondary or below,Services / household and domestic,Caste,Muslim,Urban,Telangana,0
49.0,Secondary or below,Agricultural,Don't know,Christian,46.0,139.6,Secondary or below,Not working,Don't know,Christian,Rural,Andaman & Nicobar Islands,0
23.0,Higher Secondary,Sales,No caste / tribe,Muslim,18.0,148.9,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Assam,1
33.0,Secondary or below,Agricultural,Caste,Hindu,30.0,152.0,Secondary or below,Not working,Caste,Hindu,Urban,Madhya Pradesh,1
40.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,38.0,150.2,Secondary or below,Not working,Caste,Hindu,Urban,Uttar Pradesh,1
52.0,Secondary or below,Agricultural,Caste,Hindu,49.0,150.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Uttar Pradesh,1
47.0,Secondary or below,Agricultural,Caste,Hindu,42.0,144.4,Secondary or below,Agricultural,Caste,Hindu,Rural,Chhattisgarh,0
45.0,Higher Secondary,Agricultural,Caste,Hindu,33.0,141.2,Secondary or below,Services / household and domestic,Caste,Hindu,Rural,Punjab,0
40.0,Secondary or below,Other,Caste,Muslim,35.0,150.6,Secondary or below,Not working,Caste,Muslim,Urban,Uttar Pradesh,0
45.0,Secondary or below,Sales,Caste,Hindu,44.0,152.3,Secondary or below,Not working,No caste / tribe,Hindu,Urban,Sikkim,1
37.0,Secondary or below,Agricultural,Caste,Muslim,35.0,152.5,Secondary or below,Not working,Caste,Muslim,Rural,Uttar Pradesh,0
54.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,46.0,163.5,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Urban,Gujarat,1
54.0,Higher Secondary,Clerical,Caste,Hindu,45.0,157.6,Higher Secondary,Not working,Caste,Hindu,Rural,Uttarakhand,0
49.0,Higher Secondary,Agricultural,Tribe,Christian,30.0,143.0,Secondary or below,Agricultural,Tribe,Christian,Rural,Arunachal Pradesh,0
42.0,Secondary or below,Agricultural,Tribe,Hindu,36.0,148.4,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,Rural,West Bengal,0
31.0,Post-Graduate (MBA/MA),Professional / technical / managerial,Tribe,Muslim,28.0,152.2,Secondary or below,Not working,Tribe,Muslim,Rural,Ladakh,0
49.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,44.0,158.4,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,1
45.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,40.0,149.6,Secondary or below,Not working,Caste,Muslim,Urban,Uttar Pradesh,1
36.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,29.0,149.7,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Madhya Pradesh,0
41.0,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Buddhist / Neo-Buddhist,39.0,149.6,Post-Graduate (MBA/MA),Not working,Caste,Buddhist / Neo-Buddhist,Rural,Maharashtra,1
30.0,Secondary or below,Sales,Caste,Hindu,28.0,153.4,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Hindu,Rural,Uttar Pradesh,0
52.0,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Hindu,48.0,156.4,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Gujarat,0
35.0,Higher Secondary,Agricultural,Caste,Hindu,31.0,152.7,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,0
38.0,Secondary or below,Services / household and domestic,Caste,Hindu,31.0,153.1,Secondary or below,Services / household and domestic,Caste,Hindu,Rural,Himachal Pradesh,1
37.0,Secondary or below,Agricultural,Caste,Hindu,35.0,152.8,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
30.0,Secondary or below,Skilled and unskilled manual,Caste,Sikh,28.0,169.5,Secondary or below,Agricultural,Caste,Sikh,Rural,Jammu & Kashmir,1
43.0,Higher Secondary,Agricultural,Caste,Hindu,31.0,147.2,Secondary or below,Not working,Caste,Hindu,Rural,Maharashtra,0
41.0,Secondary or below,Agricultural,Tribe,Hindu,37.0,152.1,Secondary or below,Not working,Caste,Hindu,Rural,Jharkhand,0
44.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,41.0,147.7,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Urban,Rajasthan,0
51.0,Higher Secondary,Agricultural,Caste,Hindu,49.0,145.1,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
32.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,28.0,156.2,Secondary or below,Not working,Caste,Hindu,Rural,Jharkhand,0
45.0,Secondary or below,Services / household and domestic,Caste,Hindu,38.0,151.7,Secondary or below,Agricultural,Caste,Hindu,Rural,Karnataka,1
45.0,Secondary or below,Agricultural,Tribe,Christian,35.0,156.4,Secondary or below,Agricultural,Tribe,Christian,Rural,Manipur,0
23.0,Higher Secondary,Agricultural,Caste,Hindu,20.0,159.4,Secondary or below,Not working,Caste,Hindu,Rural,Rajasthan,0
47.0,Secondary or below,Agricultural,Tribe,Christian,40.0,147.8,Secondary or below,Not working,Tribe,Christian,Rural,Nagaland,0
39.0,Secondary or below,Agricultural,Caste,Hindu,32.0,159.7,Secondary or below,Agricultural,Caste,Hindu,Rural,Telangana,1
30.0,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,23.0,157.3,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Arunachal Pradesh,0
31.0,Secondary or below,Agricultural,Caste,Hindu,24.0,156.4,Secondary or below,Not working,Caste,Hindu,Rural,Chhattisgarh,1
27.0,Higher Secondary,Skilled and unskilled manual,Caste,Muslim,26.0,165.4,Secondary or below,Sales,Caste,Muslim,Rural,Jammu & Kashmir,0
25.0,Secondary or below,Agricultural,Caste,Hindu,25.0,152.8,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Gujarat,0
30.0,Higher Secondary,Agricultural,No caste / tribe,Hindu,26.0,165.4,Secondary or below,Not working,Caste,Hindu,Urban,Assam,0
26.0,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,22.0,156.9,Secondary or below,Not working,Tribe,Hindu,Urban,Chhattisgarh,1
27.0,Secondary or below,Agricultural,Caste,Hindu,24.0,152.4,Higher Secondary,Not working,Caste,Hindu,Rural,Jharkhand,1
44.0,Secondary or below,Agricultural,Tribe,Hindu,40.0,152.4,Secondary or below,Not working,Tribe,Hindu,Rural,Odisha,1
40.0,Secondary or below,Agricultural,Caste,Muslim,38.0,156.3,Secondary or below,Services / household and domestic,Caste,Muslim,Rural,Jammu & Kashmir,1
52.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,48.0,156.5,Secondary or below,Not working,Caste,Hindu,Urban,Andhra Pradesh,0
35.0,Secondary or below,Not working,Tribe,Christian,30.0,158.2,Secondary or below,Not working,Tribe,Christian,Rural,Meghalaya,0
54.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,30.0,145.3,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Andhra Pradesh,1
35.0,Higher Secondary,Sales,Caste,Muslim,30.0,153.5,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,1
28.0,Secondary or below,Services / household and domestic,Caste,Hindu,29.0,153.6,Secondary or below,Sales,Caste,Hindu,Rural,Madhya Pradesh,1
45.0,Secondary or below,Agricultural,Caste,Hindu,42.0,142.9,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,0
49.0,Secondary or below,Sales,Caste,Hindu,35.0,154.7,Secondary or below,Not working,Caste,Hindu,Rural,Telangana,0
42.0,Higher Secondary,Sales,Caste,Christian,37.0,158.3,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Christian,Urban,Tamil Nadu,0
27.0,Secondary or below,Agricultural,Caste,Hindu,25.0,153.0,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,1
36.0,Secondary or below,Sales,Caste,Hindu,31.0,141.4,Secondary or below,Not working,Caste,Hindu,Rural,Jharkhand,0
35.0,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Hindu,34.0,150.1,Post-Graduate (MBA/MA),Not working,Caste,Hindu,Rural,Tamil Nadu,0
40.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,37.0,148.2,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Urban,Tamil Nadu,0
52.0,Secondary or below,Sales,Caste,Hindu,48.0,152.7,Secondary or below,Not working,No caste / tribe,Hindu,Urban,Madhya Pradesh,1
33.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,25.0,150.3,Secondary or below,Services / household and domestic,Caste,Hindu,Urban,Andhra Pradesh,0
30.0,Secondary or below,Agricultural,Caste,Hindu,30.0,148.9,Secondary or below,Agricultural,Caste,Hindu,Rural,Chhattisgarh,1
38.0,Secondary or below,Other,Caste,Hindu,37.0,148.1,Secondary or below,Not working,Caste,Hindu,Urban,Uttar Pradesh,1
50.0,Secondary or below,Agricultural,Caste,Hindu,41.0,147.6,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,0
36.0,Higher Secondary,Other,Caste,Hindu,32.0,156.9,Higher Secondary,Not working,Caste,Hindu,Urban,Uttarakhand,1
32.0,Secondary or below,Sales,Caste,Hindu,27.0,147.2,Secondary or below,Not working,Caste,Hindu,Rural,West Bengal,0
23.0,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,20.0,142.2,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,0
51.0,Secondary or below,Agricultural,Caste,Hindu,43.0,151.2,Secondary or below,Not working,Caste,Hindu,Rural,Rajasthan,1
28.0,Secondary or below,Skilled and unskilled manual,Tribe,Christian,26.0,157.8,Secondary or below,Not working,Tribe,Christian,Rural,Meghalaya,0
27.0,Secondary or below,Other,Caste,Muslim,25.0,152.1,Secondary or below,Not working,Caste,Muslim,Urban,Uttar Pradesh,1
25.0,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Hindu,24.0,152.4,Higher Secondary,Not working,Caste,Hindu,Urban,Dadra & Nagar Haveli And Daman & Diu,1
45.0,Secondary or below,Agricultural,Caste,Muslim,42.0,156.4,Secondary or below,Agricultural,Caste,Muslim,Rural,Haryana,0
42.0,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,35.0,151.1,Higher Secondary,Not working,Caste,Hindu,Rural,Dadra & Nagar Haveli And Daman & Diu,1
51.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,48.0,156.4,Secondary or below,Not working,Caste,Muslim,Urban,Rajasthan,1
52.0,Secondary or below,Agricultural,Caste,Hindu,48.0,151.2,Secondary or below,Agricultural,Tribe,Hindu,Rural,Rajasthan,0
36.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,24.0,150.1,Secondary or below,Not working,Caste,Hindu,Rural,Assam,0
23.0,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Hindu,21.0,145.8,Higher Secondary,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
47.0,Secondary or below,Not working,Caste,Christian,44.0,142.2,Secondary or below,Not working,Caste,Christian,Urban,Sikkim,1
44.0,Secondary or below,Other,Caste,Hindu,41.0,157.1,Secondary or below,Not working,Caste,Hindu,Urban,Gujarat,1
37.0,Secondary or below,Agricultural,Caste,Hindu,30.0,151.4,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,1
50.0,Secondary or below,Agricultural,No caste / tribe,Muslim,40.0,149.2,Secondary or below,Not working,No caste / tribe,Muslim,Rural,West Bengal,0
43.0,Secondary or below,Agricultural,Caste,Hindu,40.0,145.4,Secondary or below,Not working,Caste,Christian,Rural,Jharkhand,1
54.0,Higher Secondary,Other,Tribe,Christian,49.0,156.6,Higher Secondary,Agricultural,Tribe,Christian,Rural,Meghalaya,0
37.0,Higher Secondary,Professional / technical / managerial,Caste,Hindu,30.0,147.3,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Tamil Nadu,1
28.0,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,26.0,152.7,Higher Secondary,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
40.0,Secondary or below,Agricultural,No caste / tribe,Muslim,25.0,158.1,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Assam,0
42.0,Graduate (B.Tech/B.Sc/BA),Sales,Caste,Muslim,38.0,151.5,Secondary or below,Not working,Caste,Muslim,Urban,Jharkhand,1
35.0,Secondary or below,Other,Caste,Hindu,30.0,152.2,Secondary or below,Not working,Caste,Hindu,Urban,West Bengal,0
36.0,Secondary or below,Agricultural,Tribe,Hindu,35.0,160.0,Secondary or below,Not working,Caste,Hindu,Rural,Rajasthan,1
37.0,Graduate (B.Tech/B.Sc/BA),Services / household and domestic,Caste,Hindu,32.0,154.1,Higher Secondary,Not working,Caste,Hindu,Rural,Karnataka,1
45.0,Secondary or below,Not working,Caste,Hindu,42.0,152.1,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Uttar Pradesh,1
41.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,35.0,155.5,Secondary or below,Not working,Caste,Muslim,Urban,Gujarat,1
40.0,Secondary or below,Agricultural,Caste,Hindu,36.0,147.6,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,0
40.0,Secondary or below,Agricultural,Tribe,Christian,37.0,151.1,Secondary or below,Not working,Tribe,Christian,Rural,Manipur,1
23.0,Higher Secondary,Agricultural,Caste,Hindu,22.0,153.2,Secondary or below,Agricultural,No caste / tribe,Hindu,Rural,Uttar Pradesh,1
53.0,Secondary or below,Professional / technical / managerial,Caste,Hindu,43.0,145.7,Secondary or below,Not working,Caste,Hindu,Urban,Assam,0
42.0,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,37.0,157.3,Secondary or below,Services / household and domestic,Caste,Hindu,Urban,Rajasthan,0
47.0,Secondary or below,Agricultural,Tribe,Christian,46.0,153.7,Secondary or below,Agricultural,Tribe,Christian,Rural,Nagaland,0
33.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,28.0,151.4,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,0
52.0,Secondary or below,Agricultural,Caste,Hindu,44.0,154.3,Secondary or below,Not working,Tribe,Hindu,Rural,Odisha,1
40.0,Secondary or below,Agricultural,Tribe,Hindu,33.0,142.6,Secondary or below,Not working,Caste,Hindu,Rural,Odisha,1
38.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,37.0,146.3,Secondary or below,Not working,Caste,Hindu,Urban,Maharashtra,0
27.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,20.0,152.7,Secondary or below,Not working,Caste,Muslim,Urban,West Bengal,0
31.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,28.0,157.6,Secondary or below,Agricultural,Caste,Hindu,Rural,Telangana,1
49.0,Higher Secondary,Services / household and domestic,Caste,Hindu,46.0,150.3,Secondary or below,Not working,Caste,Hindu,Rural,Himachal Pradesh,0
32.0,Secondary or below,Agricultural,No caste / tribe,Hindu,28.0,156.3,Secondary or below,Agricultural,No caste / tribe,Hindu,Rural,Chhattisgarh,1
32.0,Secondary or below,Services / household and domestic,Caste,Muslim,29.0,161.2,Secondary or below,Not working,Tribe,Muslim,Rural,Himachal Pradesh,1
