Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Husband_partner_jealous_if_Wife_talks_with_other_men,Husband_partner_insists_on_knowing_where_Wife_is,Ever_been_humiliated_by_husband_partner,Ever_been_insulted_or_made_to_feel_bad_by_husband_partner,"Ever_been_pushed,_shook_or_had_something_thrown_by_husband_partner",Ever_been_slapped_by_husband_partner,Person_who_usually_decides_on_Wife's_health_care,Person_who_usually_decides_on_large_household_purchases,"Wife_afraid_of_husband_partner_most_of_the_time,_sometimes_or_never",Marital_Stability_Target
30,Secondary or below,Skilled and unskilled manual,Caste,Muslim,28,150.7,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
27,Secondary or below,Skilled and unskilled manual,Caste,Muslim,25,151.4,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
38,Secondary or below,Professional / technical / managerial,Caste,Muslim,36,162.5,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
38,Higher Secondary,Skilled and unskilled manual,Caste,Muslim,36,151.6,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
34,Secondary or below,Agricultural,Caste,Muslim,32,161.7,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Never afraid,1
45,Secondary or below,Skilled and unskilled manual,Caste,Muslim,44,159.3,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Husband/partner alone,Never afraid,1
28,Secondary or below,Agricultural,Caste,Muslim,25,162.3,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Never afraid,1
36,Secondary or below,Agricultural,Caste,Hindu,38,155.7,Secondary or below,Agricultural,Caste,Muslim,Urban,Jammu & Kashmir,Yes,No,"Yes, but not in the last 12 months",Sometimes,Never,Sometimes,Respondent and husband/partner,Respondent and husband/partner,Most of the time afraid,1
34,Secondary or below,Agricultural,Caste,Muslim,33,150.3,Secondary or below,Agricultural,Caste,Muslim,Urban,Jammu & Kashmir,Yes,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Most of the time afraid,1
48,Secondary or below,Sales,Caste,Muslim,45,160.7,Secondary or below,Not working,Caste,Muslim,Urban,Jammu & Kashmir,No,No,Never,Never,Often,Never,Respondent and husband/partner,Respondent and husband/partner,Most of the time afraid,1
20,Secondary or below,Services / household and domestic,Don't know,Muslim,38,163.1,Secondary or below,Not working,Caste,Muslim,Urban,Jammu & Kashmir,No,No,Never,Sometimes,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
28,Post-Graduate (MBA/MA),Other,Caste,Muslim,28,159.6,Post-Graduate (MBA/MA),Professional / technical / managerial,Tribe,Muslim,Urban,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
50,Secondary or below,Skilled and unskilled manual,Caste,Muslim,40,161.3,Secondary or below,Services / household and domestic,Caste,Muslim,Urban,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
28,Graduate (B.Tech/B.Sc/BA),Sales,Caste,Muslim,25,154.7,Secondary or below,Services / household and domestic,Caste,Muslim,Urban,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
29,Secondary or below,Agricultural,Caste,Muslim,28,158.6,Secondary or below,Not working,Caste,Muslim,Urban,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
33,Secondary or below,Sales,Caste,Muslim,30,158.3,Secondary or below,Agricultural,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Husband/partner alone,Never afraid,1
36,Secondary or below,Agricultural,No caste / tribe,Muslim,34,158.7,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Sometimes afraid,1
27,Secondary or below,Agricultural,No caste / tribe,Muslim,24,152.6,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Jammu & Kashmir,Yes,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,1
